Activity,Season,Age,Athleticism,Interests,Preference,Travel,Frequency
Tour Yokohama Chinatown,All,Young,Low,"food, culture",Both,Friends,First
See winter illuminations in Tokyo,Winter,Both,Low,"festivals, scenery",Outdoor,Family,First
Visit Kyoto National Museum of Modern Art,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Hike Yatsugatake Mountains,Summer,Both,High,"nature, hiking",Outdoor,Both,Frequent
Tour Kumamoto Castle,Spring,Both,Medium,"history, culture",Both,Family,First
Experience taiko drumming in Tokyo,All,Young,Medium,"music, culture",Indoor,Friends,Frequent
Hike Bandai-Asahi National Park,Fall,Both,High,"nature, scenery",Outdoor,Solo,Frequent
Visit Tokyo Edo-Tokyo Museum,All,Older,Low,"history, education",Indoor,Both,First
Tour Legoland Japan in Nagoya,Summer,Young,Medium,"entertainment, family",Outdoor,Family,First
See lavender fields in Furano,Summer,Both,Low,"nature, scenery",Outdoor,Family,Frequent
Visit Kyoto International Manga Museum,All,Young,Low,"pop culture, anime",Indoor,Solo,Frequent
Hike Towada-Hachimantai National Park,Summer,Both,High,"nature, adventure",Outdoor,Both,Frequent
Tour Shuri Castle in Okinawa,All,Both,Medium,"history, culture",Both,Family,First
Experience awa dance festival in Tokushima,Summer,Both,Low,"festivals, music",Outdoor,Family,First
Hike Aso-Kuju National Park,All,Both,High,"nature, hiking",Outdoor,Solo,Frequent
Visit Kyoto Nishiki Market,All,Both,Low,"food, culinary",Indoor,Friends,First
Tour Sanrio Puroland in Tokyo,All,Young,Medium,"entertainment, family",Indoor,Family,First
See tulips in Tonami Tulip Park,Spring,Both,Low,"nature, festivals",Outdoor,Family,Frequent
Visit Kyoto Arashiyama Monkey Park,All,Both,Medium,"wildlife, nature",Outdoor,Family,First
Tour Nagoya Aquarium,All,Both,Low,"wildlife, education",Indoor,Family,First
Experience hanami picnic,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Nikko National Park,Fall,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo Owl Cafe,All,Young,Low,"wildlife, entertainment",Indoor,Friends,Frequent
Tour Kyoto Gion Corner,All,Older,Low,"culture, art",Indoor,Both,First
Experience cherry blossom viewing boat cruise,Spring,Both,Low,"nature, sightseeing",Outdoor,Family,First
Hike Mount Rokko near Kobe,Summer,Both,High,"nature, hiking",Outdoor,Solo,Frequent
Visit Tokyo Cat Cafe,All,Young,Low,"wildlife, relaxation",Indoor,Friends,Frequent
Tour Nara National Museum,All,Older,Low,"art, history",Indoor,Solo,Frequent
Experience autumn leaves boat cruise,Fall,Both,Low,"nature, sightseeing",Outdoor,Family,First
Hike Mount Tsukuba near Tokyo,Spring,Both,Medium,"nature, hiking",Outdoor,Both,Frequent
Tour Osaka Aquarium Kaiyukan,All,Both,Low,"wildlife, education",Indoor,Family,First
Experience winter snowshoeing in Hokkaido,Winter,Both,High,"adventure, nature",Outdoor,Solo,Frequent
Hike Mount Mitake near Tokyo,All,Both,Medium,"nature, hiking",Outdoor,Solo,First
Visit Tokyo National Science Museum,All,Both,Low,"education, science",Indoor,Family,Frequent
Tour Kyoto Toji Temple flea market,All,Both,Low,"shopping, culture",Outdoor,Friends,First
Experience summer fireworks festival,Summer,Both,Low,"festivals, night life",Outdoor,Family,First
Hike Mount Yari in Japanese Alps,Summer,Both,High,"adventure, scenery",Outdoor,Solo,Frequent
Visit Tokyo Sumida Aquarium,All,Both,Low,"wildlife, education",Indoor,Family,First
Tour Kyoto Philosopher's Path,Spring,Both,Low,"nature, sightseeing",Outdoor,Solo,First
Experience spring ume blossom viewing,Winter,Both,Low,"nature, festivals",Outdoor,Family,First
Hike Mount Akagi in Gunma,Fall,Both,High,"nature, hiking",Outdoor,Both,Frequent
Visit Kyoto National Art Museum,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Tokyo Rikugien Garden,All,Both,Low,"nature, relaxation",Outdoor,Family,First
Experience fall momiji viewing,Fall,Both,Low,"nature, scenery",Outdoor,Family,First
Hike Mount Norikura in Alps,Summer,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo Koishikawa Korakuen Garden,All,Both,Low,"nature, scenery",Outdoor,Family,First
Tour Kyoto Kodaiji Temple,All,Older,Low,"spiritual, culture",Outdoor,Both,First
Experience winter ice festival in Hokkaido,Winter,Both,Low,"festivals, art",Outdoor,Family,First
Hike Mount Tanigawa near Tokyo,Fall,Both,High,"nature, hiking",Outdoor,Both,Frequent
Visit Tokyo National History Museum,All,Older,Low,"history, education",Indoor,Solo,Frequent
Tour Kyoto Ninna-ji Temple,Spring,Both,Low,"culture, spiritual",Outdoor,Family,First
Experience summer beach in Kamakura,Summer,Young,Medium,"beaches, relaxation",Outdoor,Friends,First
Hike Mount Zao in Tohoku,Winter,Both,High,"nature, scenery",Outdoor,Solo,Frequent
Visit Tokyo National Nature Museum,All,Both,Low,"education, nature",Indoor,Family,Frequent
Tour Kyoto Eikando Temple,Fall,Older,Low,"spiritual, culture",Outdoor,Both,First
Experience spring hanami festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Asama near Nagano,Summer,Both,High,"nature, adventure",Outdoor,Both,Frequent
Visit Tokyo National Western Art Museum,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Kyoto Tenryu-ji Temple,All,Both,Low,"spiritual, nature",Outdoor,Family,First
Experience fall koyo viewing,Fall,Both,Low,"nature, scenery",Outdoor,Family,First
Hike Mount Chausu in Alps,Summer,Both,High,"nature, hiking",Outdoor,Solo,Frequent
Visit Tokyo National Film Museum,All,Young,Low,"entertainment, culture",Indoor,Friends,Frequent
Tour Kyoto Ginkaku-ji Temple,All,Older,Low,"spiritual, culture",Outdoor,Both,First
Experience winter yukimi viewing,Winter,Both,Low,"nature, scenery",Outdoor,Family,First
Hike Mount Myogi in Gunma,Fall,Both,High,"nature, adventure",Outdoor,Both,Frequent
Visit Tokyo National Theatre,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Kyoto Nanzen-ji Temple,All,Both,Low,"spiritual, history",Outdoor,Family,First
Experience summer matsuri festival,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Ontake in Nagano,Summer,Both,High,"nature, spiritual",Outdoor,Solo,Frequent
Visit Tokyo National Craft Museum,All,Older,Low,"art, culture",Indoor,Both,Frequent
Tour Kyoto Daitoku-ji Temple,All,Older,Low,"spiritual, culture",Outdoor,Solo,First
Experience spring sakura festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Hiei near Kyoto,Fall,Both,High,"nature, spiritual",Outdoor,Both,Frequent
Visit Tokyo National Aviation Museum,All,Both,Low,"education, history",Indoor,Family,Frequent
Tour Kyoto Kifune Shrine,Summer,Older,Low,"spiritual, nature",Outdoor,Solo,First
Experience winter onsen festival,Winter,Older,Low,"festivals, relaxation",Both,Family,Frequent
Hike Mount Ibuki near Kyoto,Summer,Both,High,"nature, hiking",Outdoor,Both,Frequent
Visit Tokyo National Olympic Museum,All,Young,Low,"sports, history",Indoor,Friends,Frequent
Tour Kyoto Kamigamo Shrine,All,Both,Low,"spiritual, culture",Outdoor,Family,First
Experience fall moon viewing festival,Fall,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Daisen in Tottori,Fall,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Toy Museum,All,Young,Low,"entertainment, family",Indoor,Family,Frequent
Tour Kyoto Shimogamo Shrine,All,Both,Low,"spiritual, history",Outdoor,Family,First
Experience summer tanabata festival,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Gozaisho near Nagoya,Spring,Both,Medium,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Railway Museum,All,Both,Low,"education, history",Indoor,Family,First
Tour Kyoto Yasaka Shrine,All,Both,Low,"spiritual, culture",Outdoor,Family,First
Experience winter illumination festival,Winter,Both,Low,"festivals, night life",Outdoor,Family,First
Hike Mount Rokko near Osaka,Summer,Both,High,"nature, hiking",Outdoor,Both,Frequent
Visit Tokyo National Modern Literature Museum,All,Older,Low,"culture, education",Indoor,Solo,Frequent
Tour Kyoto Heian Shrine,Spring,Both,Low,"spiritual, history",Outdoor,Family,First
Experience spring flower festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Kongo near Osaka,Fall,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Children's Castle,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Kitano Tenmangu Shrine,Winter,Both,Low,"spiritual, culture",Outdoor,Family,First
Experience summer obon festival,Summer,Both,Low,"festivals, spiritual",Outdoor,Family,First
Hike Mount Minobu in Yamanashi,Spring,Both,Medium,"spiritual, nature",Outdoor,Solo,Frequent
Visit Tokyo National Diet Library,All,Older,Low,"education, history",Indoor,Solo,Frequent
Tour Kyoto Fushimi Sake District,All,Both,Low,"culinary, history",Both,Friends,First
Experience fall harvest festival,Fall,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Mitake in Tokyo,All,Both,High,"nature, hiking",Outdoor,Both,Frequent
Visit Tokyo National Sumo Museum,All,Both,Low,"sports, culture",Indoor,Family,Frequent
Tour Kyoto Arashiyama Bamboo Grove,Spring,Both,Medium,"nature, scenery",Outdoor,Family,First
Experience winter new year festival,Winter,Both,Low,"festivals, spiritual",Outdoor,Family,First
Hike Mount Takao in Tokyo,Spring,Both,Medium,"nature, hiking",Outdoor,Solo,First
Visit Tokyo National Film Archive,All,Young,Low,"entertainment, culture",Indoor,Solo,Frequent
Tour Kyoto Gion District,All,Both,Low,"culture, night life",Both,Friends,First
Experience summer star festival,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Nokogiri in Chiba,Fall,Both,High,"nature, adventure",Outdoor,Both,Frequent
Visit Tokyo National Aviation Museum,All,Both,Low,"education, history",Indoor,Family,Frequent
Tour Kyoto Maruyama Park,Spring,Both,Low,"nature, scenery",Outdoor,Family,First
Experience fall chrysanthemum festival,Fall,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Tsukuba in Ibaraki,Summer,Both,High,"nature, hiking",Outdoor,Solo,Frequent
Visit Tokyo National Toy Museum,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Philosopher's Walk,Spring,Both,Low,"nature, sightseeing",Outdoor,Solo,First
Experience winter plum festival,Winter,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Oyama in Kanagawa,Fall,Both,Medium,"nature, spiritual",Outdoor,Both,Frequent
Visit Tokyo National Craft Museum,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Kyoto Kamo River,All,Both,Low,"nature, relaxation",Outdoor,Family,First
Experience summer fire festival,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Nasu in Tochigi,Summer,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Olympic Museum,All,Young,Low,"sports, history",Indoor,Friends,Frequent
Tour Kyoto Sagano Romantic Train,Spring,Both,Low,"sightseeing, scenery",Outdoor,Family,First
Experience fall lantern festival,Fall,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Atago in Kyoto,Winter,Both,High,"nature, spiritual",Outdoor,Solo,Frequent
Visit Tokyo National Diet Library,All,Older,Low,"education, history",Indoor,Solo,Frequent
Tour Kyoto Nishiyama Mountains,Fall,Both,Medium,"nature, hiking",Outdoor,Both,Frequent
Experience spring iris festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Hodo in Chiba,Summer,Both,High,"nature, adventure",Outdoor,Both,Frequent
Visit Tokyo National Children's Castle,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Kinkaku-ji Temple,Spring,Both,Low,"spiritual, culture",Outdoor,Family,First
Experience summer water festival,Summer,Both,Low,"festivals, adventure",Outdoor,Family,First
Hike Mount Nokogiri in Chiba,Fall,Both,High,"nature, spiritual",Outdoor,Solo,Frequent
Visit Tokyo National Sumo Museum,All,Both,Low,"sports, culture",Indoor,Family,Frequent
Tour Kyoto Renge-ji Temple,All,Older,Low,"spiritual, culture",Outdoor,Solo,First
Experience winter light festival,Winter,Both,Low,"festivals, art",Outdoor,Family,First
Hike Mount Takao in Tokyo,Spring,Both,Medium,"nature, hiking",Outdoor,Family,First
Visit Tokyo National Film Archive,All,Young,Low,"entertainment, culture",Indoor,Solo,Frequent
Tour Kyoto Enryaku-ji Temple,Fall,Older,Low,"spiritual, history",Outdoor,Both,First
Experience fall foliage train ride,Fall,Both,Low,"sightseeing, scenery",Both,Family,First
Hike Mount Kurama near Kyoto,Summer,Both,High,"nature, spiritual",Outdoor,Solo,Frequent
Visit Tokyo National Aviation Museum,All,Both,Low,"education, history",Indoor,Family,Frequent
Tour Kyoto Daigo-ji Temple,Fall,Both,Low,"spiritual, culture",Outdoor,Family,First
Experience spring hydrangea festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Atago in Kyoto,Winter,Both,High,"nature, adventure",Outdoor,Both,Frequent
Visit Tokyo National Toy Museum,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Saiho-ji Moss Temple,All,Older,Low,"spiritual, nature",Outdoor,Solo,First
Experience summer bamboo festival,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Hiei near Kyoto,Fall,Both,High,"nature, spiritual",Outdoor,Solo,Frequent
Visit Tokyo National Craft Museum,All,Older,Low,"art, culture",Indoor,Both,Frequent
Tour Kyoto Tenryu-ji Temple Garden,All,Both,Low,"spiritual, nature",Outdoor,Family,First
Experience winter snow festival,Winter,Both,Low,"festivals, art",Outdoor,Family,First
Hike Mount Rokko near Kobe,Spring,Both,High,"nature, hiking",Outdoor,Both,Frequent
Visit Tokyo National Olympic Museum,All,Young,Low,"sports, history",Indoor,Friends,Frequent
Tour Kyoto Arashiyama Tenryu-ji,Summer,Both,Low,"spiritual, culture",Outdoor,Family,First
Experience fall moon festival,Fall,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Koya trails,Winter,Older,Medium,"spiritual, nature",Outdoor,Solo,Frequent
Visit Tokyo National Diet Library,All,Older,Low,"education, history",Indoor,Solo,Frequent
Tour Kyoto Gion Matsuri festival,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Experience spring peony festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Daisen in Tottori,Fall,Both,High,"nature, adventure",Outdoor,Both,Frequent
Visit Tokyo National Children's Castle,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Jidai Matsuri festival,Fall,Both,Low,"festivals, history",Outdoor,Family,First
Experience summer nebuta festival,Summer,Both,Low,"festivals, art",Outdoor,Family,First
Hike Mount Aso in Kyushu,Winter,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Sumo Museum,All,Both,Low,"sports, culture",Indoor,Family,Frequent
Tour Kyoto Aoi Matsuri festival,Spring,Both,Low,"festivals, culture",Outdoor,Family,First
Experience fall jidai matsuri,Fall,Both,Low,"festivals, history",Outdoor,Family,First
Hike Mount Fuji Yoshida trail,Summer,Both,High,"nature, adventure",Outdoor,Both,First
Visit Tokyo National Film Archive,All,Young,Low,"entertainment, culture",Indoor,Solo,Frequent
Tour Kyoto Kurama Fire Festival,Fall,Both,Low,"festivals, culture",Outdoor,Family,First
Experience winter sapporo snow festival,Winter,Both,Low,"festivals, art",Outdoor,Family,First
Hike Mount Takao autumn leaves,Fall,Both,Medium,"nature, scenery",Outdoor,Family,First
Visit Tokyo National Aviation Museum,All,Both,Low,"education, history",Indoor,Family,Frequent
Tour Kyoto Okazaki Canal cherry blossoms,Spring,Both,Low,"nature, scenery",Outdoor,Family,First
Experience summer tanabata festival,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Tsukuba sunrise hike,Summer,Both,High,"nature, scenery",Outdoor,Solo,Frequent
Visit Tokyo National Toy Museum,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Kiyomizu-dera night illumination,Fall,Both,Low,"spiritual, night life",Outdoor,Family,First
Experience spring yozakura night viewing,Spring,Both,Low,"nature, night life",Outdoor,Family,First
Hike Mount Nokogiri statue trail,All,Both,Medium,"spiritual, nature",Outdoor,Both,Frequent
Visit Tokyo National Craft Museum,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Kyoto Arashiyama Hanatouro,Winter,Both,Low,"festivals, night life",Outdoor,Family,First
Experience summer obon dance festival,Summer,Both,Low,"festivals, spiritual",Outdoor,Family,First
Hike Mount Myogi rock formations,Fall,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Olympic Museum,All,Young,Low,"sports, history",Indoor,Friends,Frequent
Tour Kyoto Gion Festival floats,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Experience fall takayama festival,Fall,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Nasu volcanic trail,Summer,Both,High,"nature, adventure",Outdoor,Both,Frequent
Visit Tokyo National Diet Library,All,Older,Low,"education, history",Indoor,Solo,Frequent
Tour Kyoto Jingu Shrine cherry blossoms,Spring,Both,Low,"spiritual, nature",Outdoor,Family,First
Experience winter yokote snow festival,Winter,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Atago shrine steps,Spring,Both,Medium,"spiritual, nature",Outdoor,Solo,Frequent
Visit Tokyo National Children's Castle,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Kamo River picnic,All,Both,Low,"relaxation, nature",Outdoor,Family,First
Experience summer gion festival parade,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Kurama hot spring trail,Fall,Both,High,"nature, relaxation",Outdoor,Both,Frequent
Visit Tokyo National Sumo Museum,All,Both,Low,"sports, culture",Indoor,Family,Frequent
Tour Kyoto Fushimi Inari night hike,All,Both,Medium,"spiritual, night life",Outdoor,Solo,Frequent
Experience spring kitano plum festival,Winter,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Hiei monastery trail,Summer,Both,High,"spiritual, nature",Outdoor,Solo,Frequent
Visit Tokyo National Film Archive,All,Young,Low,"entertainment, culture",Indoor,Solo,Frequent
Tour Kyoto Nishiki Market tasting,All,Both,Low,"culinary, food",Indoor,Friends,First
Experience fall arashiyama momiji festival,Fall,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Daisen autumn hike,Fall,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Aviation Museum,All,Both,Low,"education, history",Indoor,Family,Frequent
Tour Kyoto Gion geisha spotting,All,Both,Low,"culture, night life",Outdoor,Friends,First
Experience summer awa dance festival,Summer,Both,Low,"festivals, music",Outdoor,Family,First
Hike Mount Aso crater rim,Summer,Both,Medium,"nature, adventure",Outdoor,Both,Frequent
Visit Tokyo National Toy Museum,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Sagano bamboo grove,All,Both,Low,"nature, scenery",Outdoor,Family,First
Experience winter kamakura festival,Winter,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Rokko night view,Summer,Both,Medium,"nature, night life",Outdoor,Friends,Frequent
Visit Tokyo National Craft Museum,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Kyoto Kinkaku-ji golden pavilion,All,Both,Low,"spiritual, culture",Outdoor,Family,First
Experience spring yoshino cherry mountain,Spring,Both,Medium,"nature, scenery",Outdoor,Family,First
Hike Mount Tsukuba shrine trail,Fall,Both,High,"spiritual, nature",Outdoor,Both,Frequent
Visit Tokyo National Olympic Museum,All,Young,Low,"sports, history",Indoor,Friends,Frequent
Tour Kyoto Tenryu-ji zen garden,All,Both,Low,"spiritual, relaxation",Outdoor,Family,First
